sim_id,pity_threshold,player_type,population_share,fatigue,boxes_opened,boxes_opened_weighted,utility,revenue,dev_cost_allocated,net_revenue,participated
33,90,Whale,0.05,0.05746902571402754,90.00000477583858,4.500000238791929,2993.177660747882,17.370000921736846,0.225,17.145000921736845,1
33,90,Casual,0.3,0.12725929813434517,9.73072324465095,2.919216973395285,29.402753620589184,11.268177517305798,1.3499999999999999,9.918177517305798,1
33,90,F2P,0.65,0.54090610296875,0.0,0.0,0.0,0.0,0.0,0.0,0
34,90,Whale,0.05,0.035971628421406436,48.05883978535734,2.4029419892678674,266.35456677513895,9.275356078573967,0.225,9.050356078573968,1
34,90,Casual,0.3,0.10607727756959442,17.094844908739578,5.128453472621874,101.27886205296038,19.79583040432043,1.3499999999999999,18.44583040432043,1
34,90,F2P,0.65,0.40298158260878,0.0,0.0,0.0,0.0,0.0,0.0,0
35,90,Whale,0.05,0.07359135029814523,38.16953357606137,1.9084766788030685,325.43409331488215,7.366719980179845,0.225,7.141719980179845,1
35,90,Casual,0.3,0.1881135277342372,43.48402249622565,13.045206748867693,694.0088506366326,50.354498050629296,1.3499999999999999,49.004498050629294,1
35,90,F2P,0.65,0.5777170187534082,0.0,0.0,0.0,0.0,0.0,0.0,0
36,90,Whale,0.05,0.06974069517650924,90.00000477583858,4.500000238791929,2693.2524082005466,17.370000921736846,0.225,17.145000921736845,1
36,90,Casual,0.3,0.18426895689162237,11.571486970766305,3.4714460912298915,42.83751631729312,13.39978191214738,1.3499999999999999,12.049781912147381,1
36,90,F2P,0.65,0.46032962922478315,0.0,0.0,0.0,0.0,0.0,0.0,0
37,90,Whale,0.05,0.06106179958326588,67.17998628351562,3.3589993141757812,887.5396136563118,12.965737352718515,0.225,12.740737352718515,1
37,90,Casual,0.3,0.17044818291495856,21.953373456659953,6.586012036997986,132.26711464073742,25.422006462812224,1.3499999999999999,24.072006462812222,1
37,90,F2P,0.65,0.509830076664072,0.0,0.0,0.0,0.0,0.0,0.0,0
38,90,Whale,0.05,0.031901490135762066,69.281301705855,3.4640650852927504,520.4872328657841,13.371291229230016,0.225,13.146291229230016,1
38,90,Casual,0.3,0.19661846831293822,25.17786367572884,7.553359102718652,320.5067302687952,29.155966136493994,1.3499999999999999,27.805966136493993,1
38,90,F2P,0.65,0.5735639652757054,0.0,0.0,0.0,0.0,0.0,0.0,0
39,90,Whale,0.05,0.04549961272318371,90.00000477583858,4.500000238791929,3700.761779138709,17.370000921736846,0.225,17.145000921736845,1
39,90,Casual,0.3,0.1602615560601312,36.30504030148296,10.891512090444888,368.5758485375697,42.04123666911727,1.3499999999999999,40.691236669117266,1
39,90,F2P,0.65,0.4141054548659599,0.0,0.0,0.0,0.0,0.0,0.0,0
40,90,Whale,0.05,0.03557026981116114,61.79332952807946,3.0896664764039734,477.6039246642116,11.926112598919337,0.225,11.701112598919337,1
40,90,Casual,0.3,0.1014275645431374,9.167414340205287,2.750224302061586,25.990614143314833,10.615865805957721,1.3499999999999999,9.265865805957722,1
40,90,F2P,0.65,0.5031242852588519,0.0,0.0,0.0,0.0,0.0,0.0,0
41,90,Whale,0.05,0.06459992033881583,25.194653801266046,1.2597326900633024,202.35298300176865,4.862568183644347,0.225,4.637568183644348,1
41,90,Casual,0.3,0.17683069688412,18.00233551601703,5.400700654805109,92.28636590802941,20.84670452754772,1.3499999999999999,19.496704527547717,1
41,90,F2P,0.65,0.540075144177866,0.0,0.0,0.0,0.0,0.0,0.0,0
42,90,Whale,0.05,0.06872799717789932,40.91802063777531,2.0459010318887656,511.3677772304045,7.897177983090635,0.225,7.672177983090635,1
42,90,Casual,0.3,0.18970412331278064,27.415713240841065,8.224713972252319,317.0201903014461,31.74739593289395,1.3499999999999999,30.39739593289395,1
42,90,F2P,0.65,0.5329858820927903,0.0,0.0,0.0,0.0,0.0,0.0,0
43,90,Whale,0.05,0.04223525634643379,54.01724599670039,2.70086229983502,398.38438370917754,10.425328477363175,0.225,10.200328477363175,1
43,90,Casual,0.3,0.16653187929663915,3.69982612488612,1.109947837465836,7.875508386786849,4.284398652618127,1.3499999999999999,2.9343986526181274,1
43,90,F2P,0.65,0.5133827264778585,0.0,0.0,0.0,0.0,0.0,0.0,0
44,90,Whale,0.05,0.03648892433708736,56.25739014494787,2.8128695072473935,353.6597908931077,10.857676297974939,0.225,10.632676297974939,1
